"BillingCity","BillingCountry","BillingPostalCode","BillingState","BillingStreet","Name","Phone","Type"
"Princeton","USA","18540","AA","9 Roszel Road","Smith's Interiors","212555-3324","Customer - Direct"
"Richmond","USA","23230","VA","6620 W. Broad St.","ABC Repairs","310446-0098","Customer - Direct"
"Wichita","USA","67209","KS","7227 W Harry St","Remingtons","625445-9987","Customer - Indirect"
"San Jose","USA","67399","CA","2145 Hamilton Ave","Omneon","810345-9000","Customer - Corporate"
"Macon","USA","31216","GA","6601 Hawkinsville Rd","ABC Carpet","619551-2345","Customer - Enterprise"
"Brookfield","USA","53005","WI","95 N Moorland Rd","Shetlands","415404-5512","Customer - Direct"
"Grand Rapids","USA","49503","MI","114 Division Ave N","Mervyns","510443-5647","Customer - Direct"
"Pittsburgh","USA","15220","PA","651 Holiday Dr","PPG","314889-0032","Customer - Direct"
"New York","USA","10005","NY","32 Old Slip","Joe's","703332-8850","Customer - Direct"
"Los Angeles","USA","15220","CA","651 Holiday Dr","Fred Seagel","818231-8700","Customer - Direct"
