"ID","ISDELETED","MASTERRECORDID","NAME","TYPE","PARENTID","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","BILLINGCOUNTRY","BILLINGLATITUDE","BILLINGLONGITUDE","BILLINGGEOCODEACCURACY","SHIPPINGSTREET","SHIPPINGCITY","SHIPPINGSTATE","SHIPPINGPOSTALCODE","SHIPPINGCOUNTRY","SHIPPINGLATITUDE","SHIPPINGLONGITUDE","SHIPPINGGEOCODEACCURACY","PHONE","FAX","ACCOUNTNUMBER","WEBSITE","PHOTOURL","SIC","INDUSTRY","ANNUALREVENUE","NUMBEROFEMPLOYEES","OWNERSHIP","TICKERSYMBOL","DESCRIPTION","RATING","SITE","OWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","LASTVIEWEDDATE","LASTREFERENCEDDATE","JIGSAW","JIGSAWCOMPANYID","CLEANSTATUS","ACCOUNTSOURCE","DUNSNUMBER","TRADESTYLE","NAICSCODE","NAICSDESC","YEARSTARTED","SICDESC","DANDBCOMPANYID","OPERATINGHOURSID","CUSTOMERPRIORITY__C","SLA__C","ACTIVE__C","NUMBEROFLOCATIONS__C","UPSELLOPPORTUNITY__C","SLASERIALNUMBER__C","SLAEXPIRATIONDATE__C","AREA_CODE__C"
"001NS000019frM3YAI",0,,"Edge Communications","Customer - Direct",,"312 Constitution Place
Austin, TX 78767
USA","Austin","TX",,"United States",,,,"312 Constitution Place
Austin, TX 78767
USA",,,,,,,,"(512) 757-6000","(512) 757-9000","CD451796","http://edgecomm.com","/services/images/photo/001NS000019frM3YAI","6576","Electronics",139000000,1000,"Public","EDGE","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.","Hot",,"005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/28/2025 07:15:23",,,,,,"Pending",,,,,,,,,,"Medium","Silver","Yes",2.0,"Maybe","2657","04/17/2025 00:00:00",
"001NS000019frM4YAI",0,,"Burlington Textiles Corp of America","Customer - Direct",,"525 S. Lexington Ave","Burlington","NC","27215","USA",,,,,,,,,,,,"(336) 222-7000","(336) 222-8000","CD656092","www.burlington.com","/services/images/photo/001NS000019frM4YAI","546732","Apparel",350000000,9000,"Public","BTXT",,"Warm",,"005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/28/2025 07:15:23",,,,,,"Pending",,,,,,,,,,,"Silver",,6.0,"Maybe","5367","04/17/2025 00:00:00",
"001NS000019frM5YAI",0,,"Pyramid Construction Inc.","Customer - Channel",,"2 Place Jussieu","Paris",,"75251","France",,,,"2 Place Jussieu","Paris",,"75251","France",,,,"(014) 427-4427","(014) 427-4428","CC213425","www.pyramid.com","/services/images/photo/001NS000019frM5YAI","4253","Construction",950000000,2680,"Public","PYR",,,,"005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/28/2025 07:15:23",,,,,,"Pending",,,,,,,,,,,"Silver","Yes",17.0,"Maybe","9840","10/18/2025 00:00:00",
"001NS000019frM6YAI",0,,"Dickenson plc","Customer - Channel",,"1301 Hoch Drive","Lawrence","KS","66045","USA",,,,"1301 Hoch Drive","Lawrence","KS","66045","USA",,,,"(785) 241-6200","(785) 241-6201","CC634267","dickenson-consulting.com","/services/images/photo/001NS000019frM6YAI","6752","Consulting",50000000,120,"Private",,,,,"005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/28/2025 07:15:23",,,,,,"Pending",,,,,,,,,,"Low","Bronze","Yes",2.0,"No","7425","10/18/2025 00:00:00",
"001NS000019frM7YAI",0,,"Grand Hotels & Resorts Ltd","Customer - Direct",,"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","Chicago","IL",,"United States",,,,"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA",,,,,,,,"(312) 596-1000","(312) 596-1500","CD439877","www.grandhotels.com","/services/images/photo/001NS000019frM7YAI","2268","Hospitality",500000000,5600,"Public","GHTL","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.","Warm",,"005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/28/2025 07:15:23",,,,,,"Pending",,,,,,,,,,"High","Gold","Yes",57.0,"Yes","5572","10/18/2025 00:00:00",
"001NS000019frM8YAI",0,,"United Oil & Gas Corp.","Customer - Direct",,"1301 Avenue of the Americas 
New York, NY 10019
USA","New York","NY",,"United States",,,,"1301 Avenue of the Americas 
New York, NY 10019
USA",,,,,,,,"(212) 842-5500","(212) 842-5501","CD355118","http://www.uos.com","/services/images/photo/001NS000019frM8YAI","4437","Energy",5600000000,145000,"Public","UOS","World's third largest oil and gas company.","Hot",,"005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/28/2025 07:15:23",,,,,,"Pending",,,,,,,,,,"High","Platinum","Yes",955.0,"Yes","6654","10/18/2025 00:00:00",
"001NS000019frM9YAI",0,,"Express Logistics and Transport","Customer - Channel",,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","Portland","OR",,"United States",,,,"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States",,,,,,,,"(503) 421-7800","(503) 421-7801","CC947211","www.expressl&t.net","/services/images/photo/001NS000019frM9YAI","8742","Transportation",950000000,12300,"Public","EXLT","Commerical logistics and transportation company.","Cold",,"005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/28/2025 07:15:23",,,,,,"Pending",,,,,,,,,,"Medium","Platinum","Yes",150.0,"Maybe","4724","10/18/2025 00:00:00",
"001NS000019frMAYAY",0,,"University of Arizona","Customer - Direct",,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","Tucson","AZ",,"United States",,,,"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States",,,,,,,,"(520) 773-9050","(520) 773-9060","CD736025","www.universityofarizona.com","/services/images/photo/001NS000019frMAYAY","7321","Education",,39000,"Other",,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.","Warm",,"005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/28/2025 07:15:23",,,,,,"Pending",,,,,,,,,,"Medium","Gold","Yes",3.0,"Yes","8350","04/17/2025 00:00:00",
"001NS000019frMBYAY",0,,"United Oil & Gas, UK","Customer - Direct",,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",,"UK",,,,,,"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom",,,,,,,,"+44 191 4956203","+44 191 4956620","CD355119-A","http://www.uos.com","/services/images/photo/001NS000019frMBYAY","4437","Energy",,24000,"Public","UOS",,,,"005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/24/2025 19:42:48",,,,,,"Pending",,,,,,,,,,"High","Platinum","Yes",34.0,"No","3479","04/17/2025 00:00:00",
"001NS000019frMCYAY",0,,"United Oil & Gas, Singapore","Customer - Direct",,"9 Tagore Lane
Singapore, Singapore 787472
Singapore","Singapore","Singapore",,,,,,"9 Tagore Lane
Singapore, Singapore 787472
Singapore",,,,,,,,"(650) 450-8810","(650) 450-8820","CD355120-B","http://www.uos.com","/services/images/photo/001NS000019frMCYAY","4437","Energy",,3000,"Public","UOS",,,,"005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/24/2025 19:42:48","005NS00000IzjqfYAB","03/24/2025 19:42:48",,,,,,"Pending",,,,,,,,,,"High","Platinum","Yes",6.0,"Maybe","2457","10/18/2025 00:00:00",
